#Transcript position	Transcript coverage profile
0.0	749.3146416215455
1.0	765.6977225968396
2.0	751.8983511782881
3.0	741.096011899293
4.0	776.2012806148242
5.0	837.5900074095158
6.0	895.8994444590319
7.0	893.4723655817381
8.0	832.7659387917801
9.0	805.1624765805002
10.0	822.2504519868648
11.0	998.2171777965475
12.0	1315.638837829678
13.0	1385.2174143225159
14.0	1103.7134141483775
15.0	786.415553590136
16.0	939.0024692620016
17.0	997.0322072201274
18.0	769.027582718353
19.0	783.3719748381694
20.0	805.8607194207316
21.0	817.4870010679912
22.0	850.0906970058255
23.0	818.1311893779841
24.0	851.1009794714867
25.0	907.1340876352491
26.0	1194.510564794372
27.0	1507.557736649059
28.0	1552.648577417254
29.0	1696.2115719067679
30.0	1823.9938642312104
31.0	1751.8013125210823
32.0	2046.7740118525014
33.0	2297.44580100526
34.0	2332.31113007254
35.0	2299.11023946296
36.0	2482.0895386363804
37.0	2622.998100894238
38.0	2868.06907051518
39.0	3064.779512665515
40.0	3149.9675861265528
41.0	3151.317399221656
42.0	2963.7999414997494
43.0	3140.7320921000637
44.0	3373.9197952538184
45.0	3650.3250241530413
46.0	3572.129414534362
47.0	3417.972277169102
48.0	3182.010815621497
49.0	3378.5552948970026
50.0	3652.4874644467423
51.0	3982.382172153766
52.0	4190.699880847549
53.0	4180.33969300406
54.0	4124.739063408854
55.0	4080.6607159925447
56.0	3901.9889665429832
57.0	3676.982363590945
58.0	3783.9870117643522
59.0	3937.546366699632
60.0	4096.338467715582
61.0	4326.141619015613
62.0	4567.054130889935
63.0	4869.552412494236
64.0	5475.377303735257
65.0	6179.632643635186
66.0	7148.491354274863
67.0	7924.019735344007
68.0	8241.09854655084
69.0	8509.415821623923
70.0	8333.885707735397
71.0	8504.31085076042
72.0	9139.588242597685
73.0	9326.52799406627
74.0	9106.060639360323
75.0	9789.26753694876
76.0	10263.11496220876
77.0	10440.714927787205
78.0	10738.909756134084
79.0	11084.426870749625
80.0	11303.097141377528
81.0	11385.853667669295
82.0	11819.85487986789
83.0	11541.656185706217
84.0	10544.272487656282
85.0	9688.723027184022
86.0	9239.242916468393
87.0	9328.134793155634
88.0	8812.19066610478
89.0	7911.429961632133
90.0	7433.179092451547
91.0	6898.979479659127
92.0	5533.024331908023
93.0	4390.9765978687965
94.0	3734.989268552239
95.0	2996.535893124483
96.0	2370.2927577263267
97.0	1492.6355853883492
98.0	757.4978511634934
99.0	165.48688492301378
