#Transcript position	Transcript coverage profile
0.0	813.7660230582024
1.0	1119.1887789430514
2.0	1227.8199901413675
3.0	1261.6445900897515
4.0	1323.8067719347985
5.0	1335.4380508739364
6.0	1229.103491397204
7.0	1173.540182440803
8.0	1092.2201821845833
9.0	967.1104079093019
10.0	932.8900271717524
11.0	1018.365336163409
12.0	1516.5454692559501
13.0	1693.9236124278011
14.0	1026.0045885175568
15.0	758.6653901614316
16.0	1500.6386728715158
17.0	1889.2200705769042
18.0	724.9631172461776
19.0	811.366234638953
20.0	1024.0921374190582
21.0	1675.7835772288722
22.0	1354.0213482742452
23.0	1452.8553301072066
24.0	1515.4999326592065
25.0	1365.2755511884857
26.0	1512.2542219504048
27.0	1718.632740232792
28.0	1775.8887592210208
29.0	1913.176864557729
30.0	2147.722047112702
31.0	2101.0626802859842
32.0	2222.2327132654646
33.0	2316.481092452435
34.0	2259.371349177033
35.0	2187.189936640901
36.0	2308.047324659251
37.0	2257.6510297099953
38.0	2743.7627628010805
39.0	3246.208240856759
40.0	3328.484882991315
41.0	3060.4205319862212
42.0	2700.760265078459
43.0	2891.031401388227
44.0	3114.962660313101
45.0	3438.3430084563165
46.0	3648.192422169586
47.0	3734.0108082513193
48.0	3553.4870827057052
49.0	3393.3027850249255
50.0	3339.6487649349483
51.0	3794.239487657604
52.0	4177.424017998642
53.0	3983.3815026454477
54.0	3640.0833911711634
55.0	3336.4083088628113
56.0	3272.5245065114063
57.0	3170.2905247719027
58.0	3305.7633793368827
59.0	3472.274289245878
60.0	3829.832816335914
61.0	4230.6039391567665
62.0	4941.912097933628
63.0	5597.754403751768
64.0	7157.513442405831
65.0	8877.295358436753
66.0	10711.694798284649
67.0	12556.212114492833
68.0	13541.091132259558
69.0	13896.116704949649
70.0	13061.31053359876
71.0	12730.930212205338
72.0	13846.752590420094
73.0	14400.065075043854
74.0	14733.181547001133
75.0	16889.887506520543
76.0	18642.308368875314
77.0	19905.802123492715
78.0	21123.355545573584
79.0	22210.286295459868
80.0	22908.45994690427
81.0	23647.84321955181
82.0	26276.722907079813
83.0	26830.080709806472
84.0	26404.92872323286
85.0	25799.334717600403
86.0	24605.332493878886
87.0	25026.247834490438
88.0	24457.02078133623
89.0	22492.337910759245
90.0	25961.256312176698
91.0	22126.984304655423
92.0	18725.934407724326
93.0	14863.30458608192
94.0	12905.175659298371
95.0	11757.724062176005
96.0	9870.19375570747
97.0	6310.8138269144965
98.0	3053.0739717558727
99.0	498.97876473011473
