#Transcript position	Transcript coverage profile
0.0	2476.221133280366
1.0	3324.495019592257
2.0	3603.425304730373
3.0	3524.4494875681708
4.0	3534.1689251021335
5.0	3527.8342024361723
6.0	3499.7536454454334
7.0	3418.6995391223863
8.0	3185.9976214804715
9.0	2986.2177779189815
10.0	2955.0285877634205
11.0	3032.903419862211
12.0	3608.541869549807
13.0	3753.2463377287213
14.0	3104.151741594266
15.0	2926.5800429020805
16.0	3721.9072919855416
17.0	4146.7468155594515
18.0	2918.09532261573
19.0	3035.522198009375
20.0	3590.7090922166194
21.0	4425.775547618699
22.0	4155.706302465945
23.0	4130.248561379227
24.0	4191.178294875938
25.0	3928.1374161884105
26.0	4218.681944429497
27.0	4485.594749202121
28.0	4681.958981473645
29.0	5068.496931734706
30.0	5643.794849072228
31.0	5665.988310298463
32.0	5624.215337837973
33.0	5650.2047308277115
34.0	5552.893318128794
35.0	5551.690294933265
36.0	5845.923258714333
37.0	5958.057491990025
38.0	6569.083743404186
39.0	7190.89659137838
40.0	7394.734894191536
41.0	7268.897558907099
42.0	7056.468911424557
43.0	7156.372831269363
44.0	7678.3470557480605
45.0	8497.00605651855
46.0	8976.296513756715
47.0	9014.434081303321
48.0	8824.819115707145
49.0	8753.364859931513
50.0	8883.499419244828
51.0	9486.980855463027
52.0	9988.388039444124
53.0	9819.126741383829
54.0	9604.884743712708
55.0	9377.492141044895
56.0	9522.374167129348
57.0	9609.948320306614
58.0	10048.288158561834
59.0	10562.791674711558
60.0	11019.442420796486
61.0	11302.504820013832
62.0	12165.21910864978
63.0	12935.226380030103
64.0	14853.184142337668
65.0	17099.90022147337
66.0	19475.278023803243
67.0	21643.199185443966
68.0	22831.4879400967
69.0	23687.43118545191
70.0	23121.949153512054
71.0	22928.43331662335
72.0	24165.82273057847
73.0	25094.034170033217
74.0	25811.84904815345
75.0	28200.529215948958
76.0	30571.950040219366
77.0	32161.147475477257
78.0	33647.78980001941
79.0	35109.79986427966
80.0	36160.97242135716
81.0	37315.64636840663
82.0	40535.335764019546
83.0	41459.68791179172
84.0	41111.89379027492
85.0	40769.29401578543
86.0	39969.434535686785
87.0	40529.833591544084
88.0	40319.69352444297
89.0	39110.221632995774
90.0	43720.16000861231
91.0	40287.28862451877
92.0	36921.48424917032
93.0	33488.53689188854
94.0	32386.83963289714
95.0	31349.827144449708
96.0	28616.740033590228
97.0	21776.050140290652
98.0	12441.543071184828
99.0	3227.7715390893327
