#Transcript position	Transcript coverage profile
0.0	2486.0130573136917
1.0	2909.2329852085554
2.0	3012.0917211317287
3.0	2990.5480648288544
4.0	2986.157677481693
5.0	2955.9615257410155
6.0	2898.484222086301
7.0	2814.679109333728
8.0	2687.873133263237
9.0	2627.2184418944425
10.0	2639.7510362652674
11.0	2794.256045760441
12.0	2999.2810085377655
13.0	3041.712301879003
14.0	2899.4325719977437
15.0	2700.845341384641
16.0	2823.9790442530993
17.0	2887.2137881196995
18.0	2688.0877656051703
19.0	2749.4490145048358
20.0	2857.13865261132
21.0	3015.69879124204
22.0	2978.621188169548
23.0	2973.8482543635773
24.0	3047.094994159912
25.0	3059.703077907311
26.0	3325.63448784202
27.0	3577.2980665800687
28.0	3636.3955266284333
29.0	3792.1014105054123
30.0	3957.5528865204137
31.0	3946.0383905476097
32.0	4082.2099463096292
33.0	4237.383588442387
34.0	4270.499803079547
35.0	4300.0203686202
36.0	4502.652974371699
37.0	4602.909660070473
38.0	4807.881442135928
39.0	5032.435028109242
40.0	5220.302076387321
41.0	5185.4258709920105
42.0	5016.631577939409
43.0	5073.782870032848
44.0	5294.1469401784325
45.0	5683.998606554466
46.0	5952.106992884055
47.0	6025.093849571816
48.0	5962.007289939961
49.0	6049.998158747268
50.0	6082.180321854265
51.0	6393.00971316752
52.0	6640.989045197921
53.0	6713.4944910356235
54.0	6749.36406494843
55.0	6864.835329974695
56.0	6989.437267760267
57.0	6944.1575456751425
58.0	7117.906424266541
59.0	7234.461922152863
60.0	7537.312723731618
61.0	7885.794529177902
62.0	8337.756200341204
63.0	8473.872255660759
64.0	8812.410510397172
65.0	9423.549032344043
66.0	10110.147176603961
67.0	10816.816343232646
68.0	11179.516705810393
69.0	11548.339335141434
70.0	11565.389619465397
71.0	11568.514176841081
72.0	11970.712993070216
73.0	12224.561803305407
74.0	12310.014897707766
75.0	12936.840569468404
76.0	13562.765092824684
77.0	13892.56558535231
78.0	14238.49247007845
79.0	14813.225076841883
80.0	15138.867174158995
81.0	15459.353214451678
82.0	16149.436353445146
83.0	16325.503290271825
84.0	16086.145514988517
85.0	15893.066011420577
86.0	15665.9976889918
87.0	15807.251070424676
88.0	15737.390336600472
89.0	15395.420629509003
90.0	16262.207927287438
91.0	15231.141618527054
92.0	14078.00720647864
93.0	13002.043086033473
94.0	12120.13913651815
95.0	11096.431062682443
96.0	9535.85896858437
97.0	6870.612709220966
98.0	3785.572827751766
99.0	986.8516592973776
