#Transcript position	Transcript coverage profile
0.0	1744.0607178367102
1.0	1907.4366478362695
2.0	1897.901606199128
3.0	1871.7794195044298
4.0	1905.3242647341815
5.0	1975.8479147478563
6.0	2028.33888433988
7.0	1982.3267057116982
8.0	1904.348221371505
9.0	1907.3950486203366
10.0	1935.5672768835507
11.0	2147.475620806906
12.0	2542.024639962375
13.0	2700.309468969163
14.0	2324.4298744081943
15.0	1887.826902164374
16.0	2098.5156350051266
17.0	2189.534330201924
18.0	1744.432449366937
19.0	1752.6665318465937
20.0	1895.4055462423796
21.0	2332.303221916938
22.0	2090.9855861324404
23.0	2130.610174241804
24.0	2296.582116697248
25.0	2401.4592827371953
26.0	2875.47299687109
27.0	3262.955166317006
28.0	3285.847137903073
29.0	3494.210478946699
30.0	3571.2730927664875
31.0	3609.1238897465823
32.0	4030.2947969089905
33.0	4135.833850059786
34.0	4110.088534396771
35.0	4109.577480721778
36.0	4261.125881991491
37.0	4387.812688799352
38.0	4569.0934684013155
39.0	4706.347390035273
40.0	4727.004872157932
41.0	4561.788848473162
42.0	4351.863291158487
43.0	4461.79000864905
44.0	4637.538839001404
45.0	4914.76096719523
46.0	4928.030320970744
47.0	4983.018803870808
48.0	4892.712532148209
49.0	5099.152129043914
50.0	5237.61666042234
51.0	5691.289433739008
52.0	5842.44018389297
53.0	5724.095283044796
54.0	5594.119148689664
55.0	5617.449535353232
56.0	5561.089773149531
57.0	5248.2387168113555
58.0	5168.052947767391
59.0	5072.4403659734235
60.0	5101.193174518104
61.0	5347.103202142349
62.0	5593.851793666511
63.0	5743.890988197298
64.0	6189.626470385048
65.0	6811.584988215585
66.0	7576.301356683606
67.0	8461.413075869288
68.0	8979.87346506137
69.0	9441.176521155421
70.0	8988.04485828154
71.0	8792.94153147214
72.0	9210.401739449986
73.0	9174.766658296237
74.0	8849.12729964001
75.0	9606.150022197286
76.0	9996.21518827526
77.0	10150.879738777521
78.0	10397.479089263414
79.0	10830.848517126778
80.0	11005.041244896649
81.0	11232.29048633514
82.0	12026.889816059724
83.0	12040.127423458935
84.0	11197.05550866349
85.0	10421.694745705712
86.0	9826.615954567756
87.0	9755.703927317192
88.0	9338.527576160704
89.0	8380.743318787945
90.0	8105.655782699563
91.0	7516.464404589113
92.0	5971.853481389717
93.0	4563.709375668112
94.0	4007.519781821233
95.0	3309.3696282614073
96.0	2793.8402317651485
97.0	1694.8344699409622
98.0	854.5633218415635
99.0	180.81221107423426
