#Transcript position	Transcript coverage profile
0.0	553.6000646769187
1.0	792.0492557840563
2.0	892.9868277057599
3.0	973.2839873587961
4.0	1013.7929160404673
5.0	1040.1502037579578
6.0	1057.6464661048851
7.0	1020.4554971005427
8.0	981.0597021056066
9.0	946.9016258611229
10.0	978.9881611083673
11.0	1122.0190304705275
12.0	1393.4949288424264
13.0	1473.6054029680106
14.0	1264.8590953072494
15.0	1005.3173558267716
16.0	1147.3787114481781
17.0	1223.0187653526941
18.0	955.8333405516848
19.0	978.7816558687913
20.0	1050.2318955572969
21.0	1242.0747476640552
22.0	1076.8169271844627
23.0	1029.444108283233
24.0	1044.6231983863786
25.0	986.5506335122998
26.0	1142.7608686086287
27.0	1342.4388770989344
28.0	1431.546017934621
29.0	1528.706942504153
30.0	1638.4050421847446
31.0	1598.41349133845
32.0	1752.5766740057525
33.0	1906.3218198252866
34.0	1981.244068373457
35.0	1960.8760021557182
36.0	2063.2797728771448
37.0	2065.9129120525936
38.0	2342.54000395428
39.0	2619.991636888029
40.0	2664.4520863613675
41.0	2458.2741770436364
42.0	2059.9020501023656
43.0	2165.8137868788476
44.0	2235.0174931454203
45.0	2440.025989957653
46.0	2637.0596115957283
47.0	2541.9402149807693
48.0	2365.9871119395566
49.0	2434.1641358449965
50.0	2529.992912923315
51.0	2811.6838686638325
52.0	2988.403249361765
53.0	3031.0223647904268
54.0	3066.027908970874
55.0	3085.7744746042326
56.0	3045.468575952225
57.0	2960.8399743759664
58.0	3025.430671494963
59.0	3093.677326465543
60.0	3174.3562173046
61.0	3370.659804017343
62.0	3692.0373002049964
63.0	3961.653172619711
64.0	4428.19906498277
65.0	4947.156863964319
66.0	5574.8431501907235
67.0	6237.565691365899
68.0	6667.8316211357605
69.0	7003.338091345001
70.0	7017.184317917125
71.0	7000.8886310202815
72.0	7496.796203647631
73.0	7699.818043536915
74.0	7769.264974559606
75.0	8477.76287133673
76.0	9019.172374542
77.0	9278.970735956982
78.0	9713.722369602905
79.0	10156.430202512896
80.0	10362.276225120771
81.0	10478.708206778843
82.0	11054.926074801424
83.0	11228.239452515849
84.0	11148.81256317229
85.0	10860.672556456857
86.0	10407.681599837675
87.0	10591.711518208454
88.0	10281.580361057233
89.0	9349.53684460232
90.0	8932.056378466483
91.0	8527.392987789864
92.0	7460.438085889567
93.0	6045.380979445842
94.0	4815.037158254531
95.0	3840.4811353478317
96.0	3102.6952218394445
97.0	2032.2183221551038
98.0	999.6116067255643
99.0	192.2047923497511
