#Transcript position	Transcript coverage profile
0.0	2852.3593321656376
1.0	3460.300346246253
2.0	3679.3408713092876
3.0	3736.180177864776
4.0	3717.692887299347
5.0	3668.5780085791175
6.0	3622.07590744635
7.0	3507.8547021875074
8.0	3338.876372310301
9.0	3244.074410862539
10.0	3231.6322949231394
11.0	3413.2447383494996
12.0	3734.662408004414
13.0	3807.604080137583
14.0	3575.5667891707667
15.0	3342.612982347803
16.0	3564.0966288794384
17.0	3685.2389948450327
18.0	3510.240680448361
19.0	3573.3698258619665
20.0	3753.3939413913326
21.0	3981.1388188399596
22.0	3807.5174653697272
23.0	3720.7414183432466
24.0	3697.970840069387
25.0	3686.274599864389
26.0	4018.945823364214
27.0	4279.788151306446
28.0	4373.833461585792
29.0	4561.213413874537
30.0	4722.852876994402
31.0	4746.035498863056
32.0	4883.5670224255855
33.0	5055.508166746328
34.0	5131.368847901387
35.0	5168.317275721213
36.0	5410.789386639714
37.0	5527.28471668975
38.0	5916.218183168306
39.0	6232.563881554983
40.0	6387.923762046497
41.0	6299.57938854574
42.0	5957.095675045733
43.0	6066.706274870089
44.0	6243.6450383978745
45.0	6687.932052761327
46.0	6973.700029314798
47.0	6931.173344812931
48.0	6792.564195249642
49.0	6932.552298397963
50.0	7083.436824429902
51.0	7458.051761241064
52.0	7701.8671818097755
53.0	7764.008481703553
54.0	7743.29617603104
55.0	7742.614280643055
56.0	7804.7374477600515
57.0	7747.67280090186
58.0	7950.735739997035
59.0	8111.508986178528
60.0	8343.85699348204
61.0	8658.735255372545
62.0	9155.746377614849
63.0	9540.303623315647
64.0	10174.370168434685
65.0	10996.480255892873
66.0	11855.129728835123
67.0	12655.889958982356
68.0	13097.073718576148
69.0	13637.050383380423
70.0	13846.53373615987
71.0	13928.549252358991
72.0	14605.803241331456
73.0	15018.323122143465
74.0	15279.022218491646
75.0	16053.114428487586
76.0	16847.529056289975
77.0	17278.240353866568
78.0	17867.413475247715
79.0	18565.006799120056
80.0	19028.699534914493
81.0	19396.758737822773
82.0	20207.363538211684
83.0	20478.45464573963
84.0	20285.649888820997
85.0	20139.048445550696
86.0	20074.92133339002
87.0	20389.70347770625
88.0	20310.239361525208
89.0	19824.545924990205
90.0	20458.605106466875
91.0	19611.48334771898
92.0	18405.61204729539
93.0	17076.217605248297
94.0	15652.650755174154
95.0	14272.190908849481
96.0	12289.441310548009
97.0	9119.563806334025
98.0	5062.091269649387
99.0	1329.3312552349553
