#Transcript position	Transcript coverage profile
0.0	1888.5113190368047
1.0	2353.9266927592876
2.0	2544.3018445096
3.0	2535.0533471260037
4.0	2558.58091969891
5.0	2594.425890028095
6.0	2632.3277046232115
7.0	2583.338476775317
8.0	2454.9289822430583
9.0	2334.964060716472
10.0	2354.508696296215
11.0	2483.6024109593377
12.0	2854.766976123148
13.0	2953.580137139871
14.0	2668.283893743607
15.0	2523.860256902108
16.0	2804.8649277323643
17.0	2994.6146201947713
18.0	2584.468377332094
19.0	2586.0426183750733
20.0	2814.9706457482125
21.0	3273.292790601165
22.0	3080.1683018011913
23.0	2983.60901571686
24.0	3045.050364152148
25.0	2986.512745640014
26.0	3192.2420879342585
27.0	3463.3981724158275
28.0	3621.965816357449
29.0	3878.834189809339
30.0	4273.20782465515
31.0	4406.505775872542
32.0	4486.406377313029
33.0	4574.518252173067
34.0	4542.238896768373
35.0	4603.549664236946
36.0	4775.511997480581
37.0	4842.869590125292
38.0	5102.458253000318
39.0	5283.712280808024
40.0	5424.587540332682
41.0	5476.6849201319665
42.0	5526.028700296894
43.0	5618.992057852676
44.0	5891.4754024579925
45.0	6407.240673027927
46.0	6680.224140348921
47.0	6751.623427312462
48.0	6573.707130427159
49.0	6554.201951901542
50.0	6628.031701982851
51.0	6989.27063567979
52.0	7282.818238169153
53.0	7177.748323629946
54.0	7044.896677100796
55.0	7009.836264027653
56.0	7169.372133367298
57.0	7287.900089625736
58.0	7684.093588737935
59.0	8043.296373740487
60.0	8353.652868513585
61.0	8546.933280870846
62.0	9097.875751684729
63.0	9719.02023787645
64.0	10720.810512458793
65.0	11921.380274897274
66.0	13224.937265780523
67.0	14402.255347218219
68.0	15065.663151765073
69.0	15624.473648331536
70.0	15401.941687216768
71.0	15560.431129972934
72.0	16532.748228691176
73.0	17168.689261230782
74.0	17358.758442521994
75.0	18450.757999028938
76.0	19811.565057197615
77.0	20672.046593304724
78.0	21567.544679045568
79.0	22492.699856001498
80.0	23068.37855830125
81.0	23504.028466587315
82.0	24668.82096393582
83.0	24710.843219215418
84.0	23846.24269675582
85.0	23235.91711402279
86.0	22857.517700767658
87.0	22987.96435445931
88.0	22813.49579047004
89.0	22493.059308505603
90.0	24718.94921419909
91.0	22901.697647450885
92.0	21048.492010498827
93.0	19668.75624077882
94.0	19137.105224694424
95.0	17912.170469268065
96.0	15784.499577217077
97.0	11615.664986445669
98.0	6274.203959696495
99.0	1598.214419997806
